Right cycle,Right start,Right end,Stance right ,percent_stance_right,Initial swing right,Percent initial right,Mid swing right,Percent mid swing right ,Terminal right,Percent termial right
1,30,95,30,0.4,56,0.1076923076923077,63,0.4,89,0.09230769230769231
2,96,162,96,0.3939393939393939,122,0.10606060606060606,129,0.3939393939393939,155,0.10606060606060606
3,163,230,163,0.373134328358209,188,0.13432835820895522,197,0.373134328358209,222,0.11940298507462686
4,231,298,231,0.373134328358209,256,0.11940298507462686,264,0.3880597014925373,290,0.11940298507462686
5,299,365,299,0.3787878787878788,324,0.13636363636363635,333,0.3787878787878788,358,0.10606060606060606
6,366,433,366,0.373134328358209,391,0.13432835820895522,400,0.373134328358209,425,0.11940298507462686
7,434,499,434,0.38461538461538464,459,0.12307692307692308,467,0.38461538461538464,492,0.1076923076923077
8,500,567,500,0.373134328358209,525,0.13432835820895522,534,0.373134328358209,559,0.11940298507462686
9,568,635,568,0.373134328358209,593,0.13432835820895522,602,0.373134328358209,627,0.11940298507462686
10,636,703,636,0.373134328358209,661,0.14925373134328357,671,0.373134328358209,696,0.1044776119402985
11,704,770,704,0.3787878787878788,729,0.12121212121212122,737,0.3939393939393939,763,0.10606060606060606
12,771,837,771,0.3787878787878788,796,0.13636363636363635,805,0.3787878787878788,830,0.10606060606060606
13,838,905,838,0.373134328358209,863,0.13432835820895522,872,0.3880597014925373,898,0.1044776119402985
14,906,974,906,0.36764705882352944,931,0.1323529411764706,940,0.36764705882352944,965,0.1323529411764706
15,975,1041,975,0.36363636363636365,999,0.13636363636363635,1008,0.3787878787878788,1033,0.12121212121212122
16,1042,1109,1042,0.373134328358209,1067,0.11940298507462686,1075,0.3880597014925373,1101,0.11940298507462686
17,1110,1176,1110,0.3787878787878788,1135,0.12121212121212122,1143,0.3939393939393939,1169,0.10606060606060606
18,1177,1243,1177,0.3787878787878788,1202,0.12121212121212122,1210,0.4090909090909091,1237,0.09090909090909091
19,1244,1311,1244,0.373134328358209,1269,0.13432835820895522,1278,0.3880597014925373,1304,0.1044776119402985
20,1312,1377,1312,0.36923076923076925,1336,0.12307692307692308,1344,0.4,1370,0.1076923076923077
21,1378,1445,1378,0.373134328358209,1403,0.13432835820895522,1412,0.3880597014925373,1438,0.1044776119402985
22,1446,1513,1446,0.373134328358209,1471,0.13432835820895522,1480,0.3880597014925373,1506,0.1044776119402985
23,1514,1579,1514,0.38461538461538464,1539,0.1076923076923077,1546,0.4,1572,0.1076923076923077
24,1580,1646,1580,0.3787878787878788,1605,0.13636363636363635,1614,0.3939393939393939,1640,0.09090909090909091
25,1647,1716,1647,0.36231884057971014,1672,0.11594202898550725,1680,0.391304347826087,1707,0.13043478260869565
26,1717,1782,1717,0.36923076923076925,1741,0.12307692307692308,1749,0.4,1775,0.1076923076923077
27,1783,1849,1783,0.36363636363636365,1807,0.12121212121212122,1815,0.3939393939393939,1841,0.12121212121212122
28,1850,1916,1850,0.36363636363636365,1874,0.13636363636363635,1883,0.36363636363636365,1907,0.13636363636363635
